"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"I.S. 915","301",NA,NA,NA,NA,NA,NA,2021
"P.S. 016 Leonard Dunkly","192",33,0.172,10,NA,NA,21,2021
"P.S. 017 Henry D. Woodworth","267",29,0.109,13,NA,NA,16,2021
"P.S. 018 Edward Bush","203",43,0.212,7,NA,NA,36,2021
"P.S. 023 Carter G. Woodson","263",87,0.331,35,23,12,51,2021
"P.S. 031 Samuel F. Dupont","596",95,0.159,NA,NA,NA,91,2021
"P.S. 034 Oliver H. Perry","457",9,0.02,NA,NA,NA,6,2021
"J.H.S. 050 John D. Wells","339",43,0.127,9,NA,NA,33,2021
"P.S. 059 William Floyd","306",41,0.134,34,20,14,7,2021
"Juan Morel Campos Secondary School","502",73,0.145,22,14,8,46,2021
"P.S. 084 Jose De Diego","714",66,0.092,6,NA,NA,59,2021
"P.S. 110 The Monitor","548",6,0.011,NA,NA,NA,NA,2021
"P.S. 120 Carlos Tapia","346",90,0.26,18,NA,NA,68,2021
"John Ericsson Middle School 126","277",38,0.137,12,NA,NA,25,2021
"P.S. 132 The Conselyea School","693",25,0.036,11,NA,NA,13,2021
"P.S. 147 Isaac Remsen","308",39,0.127,12,NA,NA,24,2021
"P.S./I.S. 157 The Benjamin Franklin Health & Scien","345",23,0.067,16,NA,NA,6,2021
"P.S. 196 Ten Eyck","303",54,0.178,13,6,7,40,2021
"P.S. 250 George H. Lindsay","372",61,0.164,12,NA,NA,48,2021
"P.S. 257 John F. Hylan","541",64,0.118,31,NA,NA,33,2021
"P.S. 297 Abraham Stockton","203",51,0.251,9,NA,NA,41,2021
"I.S. 318 Eugenio Maria De Hostos","1287",83,0.064,14,7,7,67,2021
"P.S. 319","118",NA,NA,NA,NA,NA,NA,2021
"P.S. 380 John Wayne Elementary","491",46,0.094,10,NA,NA,36,2021
"Brooklyn Arbor Elementary School","570",25,0.044,8,NA,NA,17,2021
"Home Schooling","169",7,0.041,NA,NA,NA,NA,2021
"Brooklyn Latin School, The","846",19,0.022,NA,NA,NA,15,2021
"The Williamsburg High School of Art and Technology","386",44,0.114,20,6,14,20,2021
"PROGRESS High School for Professional Careers","528",88,0.167,35,13,22,47,2021
"East Williamsburg Scholars Academy","320",56,0.175,15,8,7,36,2021
"The High School for Enterprise, Business and Techn","677",67,0.099,29,13,16,33,2021
"Brooklyn Preparatory High School","523",37,0.071,13,NA,NA,22,2021
"Williamsburg High School for Architecture and Desi","607",33,0.054,7,NA,NA,24,2021
"Williamsburg Preparatory School","707",34,0.048,7,NA,NA,26,2021
"Conselyea Preparatory School","478",27,0.056,NA,NA,NA,25,2021
"M.S. 582","361",66,0.183,13,NA,NA,53,2021
"Lyons Community School","411",54,0.131,22,9,13,32,2021
"A-Tech High School","337",22,0.065,6,NA,NA,15,2021
"Young Women's Leadership School of Brooklyn","380",36,0.095,16,8,8,16,2021
"El Puente Academy for Peace and Justice","221",23,0.104,7,NA,NA,14,2021
"Universal Pre-K C.B.O.","863",19,0.022,8,NA,NA,10,2021
"P.S. 001 The Bergen","967",33,0.034,6,NA,NA,26,2021
"Magnet School of Math, Science and Design Technolo","874",19,0.022,6,NA,NA,10,2021
"P.S. 015 Patrick F. Daly","435",46,0.106,29,18,11,16,2021
"P.S. 024","564",88,0.156,19,NA,NA,67,2021
"P.S. 029 John M. Harrigan","817",NA,NA,NA,NA,NA,NA,2021
"P.S. 032 Samuel Mills Sprole","465",33,0.071,11,NA,NA,22,2021
"P.S. 038 The Pacific","549",20,0.036,11,NA,NA,9,2021
"P.S. 039 Henry Bristow","456",NA,NA,NA,NA,NA,NA,2021
"M.S. 51 William Alexander","1157",54,0.047,7,NA,NA,44,2021
"P.S. 058 The Carroll","869",10,0.012,NA,NA,NA,6,2021
"J.H.S. 088 Peter Rouget","1474",64,0.043,12,NA,NA,49,2021
"P.S. 094 The Henry Longfellow","1146",66,0.058,NA,NA,NA,59,2021
"P.S. 107 John W. Kimball","506",NA,NA,NA,NA,NA,NA,2021
"The Maurice Sendak Community School","294",NA,NA,NA,NA,NA,NA,2021
"P.S. 124 Silas B. Dutcher","289",61,0.211,44,NA,NA,17,2021
"P.S. 130 The Parkside","878",27,0.031,7,NA,NA,19,2021
"P.S. 131 Brooklyn","767",70,0.091,NA,NA,NA,66,2021
"I.S. 136 Charles O. Dewey","507",35,0.069,20,10,10,15,2021
"The Brooklyn New School, P.S. 146","721",14,0.019,NA,NA,NA,9,2021
"The Windsor Terrace School","452",NA,NA,NA,NA,NA,NA,2021
"P.S. 169 Sunset Park","1223",80,0.065,NA,NA,NA,65,2021
"P.S. 172 Beacon School of Excellence","572",16,0.028,NA,NA,NA,13,2021
"P.S. 230 Doris L. Cohen","1066",151,0.142,11,NA,NA,140,2021
"P.S. 261 Philip Livingston","703",21,0.03,NA,NA,NA,16,2021
"P.S. 295","373",15,0.04,11,NA,NA,NA,2021
"P.S. 321 William Penn","1379",8,0.006,NA,NA,NA,NA,2021
"The Children's School","277",NA,NA,NA,NA,NA,NA,2021
"Brooklyn Frontiers High School","160",12,0.075,8,NA,NA,NA,2021
"Digital Arts and Cinema Technology High School","337",16,0.047,9,NA,NA,6,2021
"M.S. 442 Carroll Gardens School for Innovation","359",13,0.036,NA,NA,NA,10,2021
"New Voices School of Academic & Creative Arts","611",15,0.025,NA,NA,NA,10,2021
"Home Schooling","326",NA,NA,NA,NA,NA,NA,2021
"The Math & Science Exploratory School","576",23,0.04,13,NA,NA,9,2021
"Brooklyn Collaborative Studies","688",57,0.083,17,NA,NA,31,2021
"John Jay School for Law","487",46,0.094,24,13,11,17,2021
"Cyberarts Studio Academy","255",21,0.082,6,NA,NA,14,2021
"Park Slope Collegiate","694",43,0.062,11,NA,NA,29,2021
"The Boerum Hill School for International Studies","784",52,0.066,13,NA,NA,33,2021
"Sunset Park Avenues Elementary School","446",31,0.07,NA,NA,NA,28,2021
"Cobble Hill School of American Studies","483",59,0.122,28,9,19,28,2021
"West Brooklyn Community High School","216",15,0.069,NA,NA,NA,13,2021
"Khalil Gibran International Academy","163",19,0.117,8,NA,NA,10,2021
"Brooklyn High School of the Arts","946",43,0.045,22,12,10,20,2021
"Sunset Park High School","1299",98,0.075,21,12,9,71,2021
"Red Hook Neighborhood School","108",21,0.194,11,NA,NA,8,2021
"Millennium Brooklyn HS","690",9,0.013,NA,NA,NA,8,2021
"South Brooklyn Community High School","197",19,0.096,7,NA,NA,8,2021
"Universal Pre-K C.B.O.","1198",43,0.036,6,NA,NA,37,2021
"The Little Brooklyn Pre-K Center","136",NA,NA,NA,NA,NA,NA,2021
"Sunset Park Prep","527",51,0.097,10,NA,NA,40,2021
"M.S. 839","371",30,0.081,NA,NA,NA,25,2021
"Pre-K Center at Bishop Ford School Site","384",NA,NA,NA,NA,NA,NA,2021
"The School of Creativity and Innovation","155",6,0.039,NA,NA,NA,NA,2021
"P.S. 005 Dr. Ronald McNair","216",44,0.204,24,13,11,18,2021
"P.S. 021 Crispus Attucks","547",68,0.124,44,NA,NA,24,2021
"P.S. 025 Eubie Blake School","61",15,0.246,9,NA,NA,6,2021
"P.S. 026 Jesse Owens","223",26,0.117,21,13,8,NA,2021
"M.S. 035 Stephen Decatur","195",44,0.226,26,14,12,17,2021
"P.S. 040 George W. Carver","463",79,0.171,41,21,20,35,2021
"Whitelaw Reid Academy of Arts and Business","103",33,0.32,20,12,8,13,2021
"P.S. 081 Thaddeus Stevens","279",90,0.323,64,47,17,25,2021
"P.S. 243K- The Weeksville School","205",31,0.151,13,NA,NA,11,2021
"P.S. 262 El Hajj Malik El Shabazz Elementary Schoo","166",19,0.114,14,NA,NA,NA,2021
"M.S. 267 Math, Science & Technology","199",30,0.151,15,NA,NA,12,2021
"P.S. 308 Clara Cardwell","270",73,0.27,41,21,20,29,2021
"P.S. 309 The George E. Wibecan Preparatory Academy","172",26,0.151,11,NA,NA,12,2021
"P.S. 335 Granville T. Woods","199",39,0.196,26,12,14,11,2021
"Home Schooling","116",17,0.147,11,NA,NA,6,2021
"Boys and Girls High School","444",62,0.14,38,17,21,20,2021
"Brooklyn High School for Law and Technology","613",64,0.104,31,9,22,24,2021
"Brighter Choice Community School","326",65,0.199,46,29,17,18,2021
"Brooklyn Brownstone School","328",17,0.052,7,NA,NA,9,2021
"Research and Service High School","295",32,0.108,16,NA,NA,9,2021
"Madiba Prep Middle School","233",44,0.189,25,10,15,19,2021
"The Brooklyn Academy of Global Finance","136",14,0.103,11,NA,NA,NA,2021
"Universal Pre-K C.B.O.","496",30,0.06,10,NA,NA,12,2021
"Nelson Mandela High School","167",22,0.132,12,6,6,6,2021
"The Brooklyn Green School","152",14,0.092,8,NA,NA,NA,2021
"Parkside Preparatory Academy","424",49,0.116,11,NA,NA,38,2021
"Norma Adams Clemons Academy","640",84,0.131,59,44,15,18,2021
"Dr. Jacqueline Peek-Davis School","206",40,0.194,19,9,10,21,2021
"M.S. 061 Dr. Gladstone H. Atwell","512",89,0.174,45,31,14,43,2021
"P.S. 091 The Albany Avenue School","193",21,0.109,8,NA,NA,13,2021
"P.S. 092 Adrian Hegeman","330",35,0.106,15,9,6,20,2021
"Pathways in Technology Early College High School (","614",52,0.085,27,14,13,19,2021
"P.S. 138 Brooklyn","514",61,0.119,31,19,12,28,2021
"P.S. 161 The Crown","338",76,0.225,58,50,8,18,2021
"P.S. 181 Brooklyn","614",54,0.088,34,23,11,18,2021
"P.S. 189 The Bilingual Center","969",136,0.14,50,32,18,73,2021
"P.S. 191 Paul Robeson","177",63,0.356,42,35,7,15,2021
"P.S. 221 Toussaint L'Ouverture","197",38,0.193,13,NA,NA,24,2021
"P.S. 241 Emma L. Johnston","401",69,0.172,12,NA,NA,54,2021
"M.S. 246 Walt Whitman","376",74,0.197,23,NA,NA,51,2021
"P.S. 249 The Caton","824",57,0.069,8,NA,NA,48,2021
"P.S. 289 George V. Brower","293",77,0.263,34,25,9,39,2021
"P.S. 316 Elijah Stroud","568",21,0.037,6,NA,NA,NA,2021
"I.S. 340","223",20,0.09,8,NA,NA,11,2021
"Ebbets Field Middle School","139",16,0.115,NA,NA,NA,10,2021
"Elijah Stroud Middle School","148",20,0.135,9,NA,NA,7,2021
"The School of Integrated Learning","332",46,0.139,14,7,7,29,2021
"P.S. 375 Jackie Robinson School","261",53,0.203,18,10,8,34,2021
"Academy for College Preparation and Career Explora","341",70,0.205,33,17,16,35,2021
"M.S. K394","290",50,0.172,28,22,6,21,2021
"P.S. 397 Foster-Laurie","163",10,0.061,7,NA,NA,NA,2021
"P.S. 398 Walter Weaver","222",92,0.414,22,15,7,63,2021
"P.S. 399 Stanley Eugene Clark","240",62,0.258,51,43,8,11,2021
"Academy of Hospitality and Tourism","269",41,0.152,17,10,7,24,2021
"Home Schooling","331",15,0.045,10,NA,NA,NA,2021
"Ronald Edmonds Learning Center II","179",35,0.196,15,NA,NA,20,2021
"International High School at Prospect Heights","332",64,0.193,10,NA,NA,48,2021
"The High School for Global Citizenship","236",42,0.178,14,6,8,26,2021
"School for Human Rights, The","283",29,0.102,14,7,7,12,2021
"New Bridges Elementary","432",66,0.153,18,NA,NA,47,2021
"High School for Youth and Community Development at","497",59,0.119,21,10,11,31,2021
"High School for Service & Learning at Erasmus","268",34,0.127,14,NA,NA,20,2021
"Science, Technology and Research Early College Hig","661",34,0.051,10,NA,NA,22,2021
"High School for Public Service: Heroes of Tomorrow","521",52,0.1,24,10,14,23,2021
"Brooklyn Academy of Science and the Environment","331",37,0.112,13,7,6,22,2021
"Brooklyn School for Music & Theatre","293",37,0.126,22,11,11,14,2021
"Brownsville Academy High School","100",14,0.14,8,NA,NA,NA,2021
"Medgar Evers College Preparatory School","1490",75,0.05,21,11,10,44,2021
"Clara Barton High School","1311",100,0.076,34,16,18,63,2021
"Aspirations Diploma Plus High School","177",23,0.13,11,NA,NA,9,2021
"Universal Pre-K C.B.O.","1394",28,0.02,20,NA,NA,7,2021
"Brooklyn Arts and Science Elementary School","312",43,0.138,21,13,8,20,2021
"New Heights Middle School","249",38,0.153,13,NA,NA,22,2021
"Brooklyn Institute for Liberal Arts","522",48,0.092,9,NA,NA,36,2021
"Academy for Health Careers","277",29,0.105,12,NA,NA,15,2021
"P.S. 770 New American Academy","291",19,0.065,12,NA,NA,7,2021
"P.S. 66","684",52,0.076,26,18,8,21,2021
"I.S. 068 Isaac Bildersee","251",24,0.096,NA,NA,NA,16,2021
"P.S. 114 Ryder Elementary","447",68,0.152,29,20,9,28,2021
"P.S. 115 Daniel Mucatel School","860",55,0.064,6,NA,NA,44,2021
"P.S. 135 Sheldon A. Brookner","415",33,0.08,21,NA,NA,10,2021
"P.S. 208 Elsa Ebeling","310",18,0.058,12,NA,NA,6,2021
"I.S. 211 John Wilson","261",42,0.161,7,NA,NA,29,2021
"P.S. 219 Kennedy-King","319",35,0.11,23,13,10,7,2021
"P.S. 233 Langston Hughes","308",23,0.075,10,NA,NA,13,2021
"P.S. 235 Janice Marie Knight School","1114",28,0.025,9,NA,NA,18,2021
"P.S. 244 Richard R. Green","387",31,0.08,13,NA,NA,15,2021
"P.S. 268 Emma Lazarus","296",40,0.135,32,20,12,8,2021
"P.S. 272 Curtis Estabrook","403",87,0.216,21,NA,NA,59,2021
"P.S. 276 Louis Marshall","517",27,0.052,7,NA,NA,20,2021
"P.S. 279 Herman Schreiber","285",26,0.091,6,NA,NA,19,2021
"I.S. 285 Meyer Levin","763",96,0.126,28,14,14,62,2021
"The Science And Medicine Middle School","388",51,0.131,16,9,7,31,2021
"Home Schooling","199",8,0.04,NA,NA,NA,NA,2021
"It Takes a Village Academy","500",52,0.104,18,12,6,31,2021
"Brooklyn Community High School for Excellence and","204",19,0.093,NA,NA,NA,14,2021
"Brooklyn Theatre Arts High School","269",23,0.086,11,NA,NA,10,2021
"Kurt Hahn Expeditionary Learning School","221",30,0.136,12,NA,NA,17,2021
"Victory Collegiate High School","282",17,0.06,9,NA,NA,8,2021
"Brooklyn Bridge Academy","161",16,0.099,7,NA,NA,9,2021
"The Middle School of Media, Law and Fine Arts","220",38,0.173,17,11,6,18,2021
"Middle School for Art and Philosophy","142",20,0.141,11,NA,NA,NA,2021
"High School for Innovation in Advertising and Medi","209",20,0.096,7,NA,NA,11,2021
"Cultural Academy for the Arts and Sciences","210",26,0.124,16,10,6,8,2021
"High School for Medical Professions","485",47,0.097,13,NA,NA,34,2021
"Olympus Academy","189",12,0.063,NA,NA,NA,6,2021
"Academy for Conservation and the Environment","340",48,0.141,17,7,10,30,2021
"Urban Action Academy","187",28,0.15,11,NA,NA,16,2021
"East Brooklyn Community High School","187",21,0.112,8,NA,NA,11,2021
"Universal Pre-K C.B.O.","750",13,0.017,9,NA,NA,NA,2021
"Brooklyn Science and Engineering Academy","360",20,0.056,7,NA,NA,13,2021
"P.S. 007 Abraham Lincoln","738",27,0.037,8,NA,NA,17,2021
"P.S. 013 Roberto Clemente","426",67,0.157,46,NA,NA,17,2021
"P.S. 065","533",140,0.263,6,NA,NA,134,2021
"P.S. 089 Cypress Hills","491",39,0.079,NA,NA,NA,36,2021
"P.S. 108 Sal Abbracciamento","887",277,0.312,25,NA,NA,251,2021
"P.S. 149 Danny Kaye","511",75,0.147,50,43,7,25,2021
"P.S. 158 Warwick","507",60,0.118,41,31,10,16,2021
"P.S. 159 Isaac Pitkin","704",48,0.068,16,10,6,32,2021
"I.S. 171 Abraham Lincoln","344",44,0.128,NA,NA,NA,41,2021
"P.S. 190 Sheffield","163",29,0.178,17,11,6,11,2021
"P.S. 202 Ernest S. Jenkyns","307",54,0.176,36,21,15,15,2021
"P.S. 213 New Lots","247",40,0.162,24,14,10,14,2021
"P.S. 214 Michael Friedsam","845",65,0.077,19,NA,NA,45,2021
"J.H.S. 218 James P. Sinnott","344",64,0.186,18,12,6,43,2021
"P.S. 224 Hale A. Woodruff","303",23,0.076,10,NA,NA,13,2021
"P.S. 273 Wortman","314",54,0.172,20,NA,NA,33,2021
"P.S. 290 Juan Morel Campos","396",50,0.126,15,NA,NA,35,2021
"J.H.S. 292 Margaret S. Douglas","506",102,0.202,69,53,16,33,2021
"P.S. 306 Ethan Allen","289",66,0.228,35,20,15,26,2021
"The Fresh Creek School","145",16,0.11,11,NA,NA,NA,2021
"P.S. 328 Phyllis Wheatley","308",125,0.406,111,70,41,9,2021
"P.S. 345 Patrolman Robert Bolden","515",47,0.091,37,NA,NA,10,2021
"P.S. 346 Abe Stark","505",47,0.093,6,NA,NA,39,2021
"I.S. 364 Gateway","212",27,0.127,NA,NA,NA,19,2021
"Academy for Young Writers","543",51,0.094,26,17,9,25,2021
"East New York Family Academy","559",58,0.104,32,14,18,23,2021
"Spring Creek Community School","525",41,0.078,24,14,10,15,2021
"Home Schooling","378",33,0.087,19,11,8,13,2021
"Frederick Douglass Academy VIII Middle School","280",25,0.089,10,NA,NA,15,2021
"FDNY - Captain Vernon A. Richard High School for F","266",48,0.18,32,12,20,15,2021
"High School for Civil Rights","188",39,0.207,25,13,12,12,2021
"Performing Arts and Technology High School","330",41,0.124,19,10,9,19,2021
"World Academy for Total Community Health High Scho","177",32,0.181,11,NA,NA,20,2021
"Brooklyn Gardens Elementary School","289",83,0.287,38,28,10,35,2021
"Multicultural High School","294",38,0.129,9,NA,NA,28,2021
"Transit Tech Career and Technical Education High S","852",83,0.097,34,17,17,48,2021
"Academy of Innovative Technology","455",28,0.062,13,7,6,14,2021
"Brooklyn Lab School","394",37,0.094,11,NA,NA,21,2021
"Van Siclen Community Middle School","293",44,0.15,14,NA,NA,29,2021
"Cypress Hills Collegiate Preparatory School","376",40,0.106,10,NA,NA,29,2021
"W. H. Maxwell Career and Technical Education High","398",55,0.138,40,20,20,13,2021
"Vista Academy","487",77,0.158,10,NA,NA,67,2021
"Liberty Avenue Middle School","562",88,0.157,26,16,10,58,2021
"School of the Future Brooklyn","119",24,0.202,13,NA,NA,11,2021
"East New York Elementary School of Excellence","457",75,0.164,30,24,6,45,2021
"East New York Middle School of Excellence","250",30,0.12,14,8,6,14,2021
"School for Classics High School","241",30,0.124,11,NA,NA,16,2021
"Universal Pre-K C.B.O.","1429",53,0.037,35,NA,NA,16,2021
"Highland Park Community School","375",51,0.136,NA,NA,NA,47,2021
"The Urban Assembly School for Collaborative Health","349",40,0.115,11,NA,NA,29,2021
"Legacy School of the Arts","143",27,0.189,14,NA,NA,10,2021
"P.S. 938","61",8,0.131,NA,NA,NA,7,2021
"The East New York Arts and Civics High School","172",22,0.128,10,NA,NA,11,2021
"P.S./I.S. 30 Mary White Ovington","992",37,0.037,NA,NA,NA,35,2021
"P.S. 048 Mapleton","579",20,0.035,NA,NA,NA,17,2021
"J.H.S. 062 Ditmas","1147",145,0.126,9,NA,NA,131,2021
"P.S. 69 Vincent D. Grippo School","765",10,0.013,NA,NA,NA,9,2021
"P.S. 102 The Bayview","1322",57,0.043,NA,NA,NA,52,2021
"P.S./I.S. 104 The Fort Hamilton School","1224",16,0.013,NA,NA,NA,10,2021
"P.S. 105 The Blythebourne","1377",6,0.004,NA,NA,NA,NA,2021
"P.S. 112 Lefferts Park","730",35,0.048,NA,NA,NA,33,2021
"P.S. 127 Mckinley Park","531",8,0.015,NA,NA,NA,6,2021
"P.S. 160 William T. Sampson","1151",40,0.035,NA,NA,NA,39,2021
"P.S. 163 Bath Beach","634",58,0.091,NA,NA,NA,56,2021
"P.S. 164 Caesar Rodney","635",51,0.08,NA,NA,NA,51,2021
"Ralph A. Fabrizio School","1001",125,0.125,6,NA,NA,119,2021
"P.S. 176 Ovington","1175",32,0.027,NA,NA,NA,32,2021
"P.S. 179 Kensington","798",67,0.084,NA,NA,NA,62,2021
"The SEEALL Academy","1045",32,0.031,NA,NA,NA,30,2021
"P.S. 185 Walter Kassenbrock","607",6,0.01,NA,NA,NA,NA,2021
"P.S. 186 Dr. Irving A Gladstone","1071",25,0.023,NA,NA,NA,20,2021
"The Christa McAuliffe School\I.S. 187","990",NA,NA,NA,NA,NA,NA,2021
"P.S. 192 - The Magnet School for Math and Science","643",57,0.089,NA,NA,NA,56,2021
"P.S. 200 Benson School","1384",42,0.03,NA,NA,NA,38,2021
"J.H.S. 201 The Dyker Heights","1742",30,0.017,NA,NA,NA,28,2021
"P.S. 204 Vince Lombardi","1063",18,0.017,NA,NA,NA,16,2021
"P.S. 205 Clarion","1245",25,0.02,NA,NA,NA,24,2021
"J.H.S. 220 John J. Pershing","1454",126,0.087,NA,NA,NA,119,2021
"J.H.S. 223 The Montauk","909",75,0.083,NA,NA,NA,71,2021
"J.H.S. 227 Edward B. Shallow","1567",74,0.047,NA,NA,NA,68,2021
"P.S. 229 Dyker","1212",18,0.015,NA,NA,NA,17,2021
"P.S. 247 Brooklyn","815",13,0.016,NA,NA,NA,12,2021
"J.H.S. 259 William McKinley","1776",72,0.041,NA,NA,NA,67,2021
"P.S. 264 Bay Ridge Elementary School For The Arts","443",18,0.041,NA,NA,NA,18,2021
"The School For Future Leaders","491",NA,NA,NA,NA,NA,NA,2021
"Home Schooling","440",NA,NA,NA,NA,NA,NA,2021
"New Utrecht High School","3591",228,0.063,15,6,9,210,2021
"High School of Telecommunication Arts and Technolo","1292",40,0.031,NA,NA,NA,35,2021
"Fort Hamilton High School","4678",233,0.05,13,7,6,208,2021
"P.S. 503: The School of Discovery","877",260,0.296,11,NA,NA,249,2021
"Franklin Delano Roosevelt High School","3333",214,0.064,17,6,11,180,2021
"P.S. 506: The School of Journalism & Technology","671",80,0.119,NA,NA,NA,79,2021
"Urban Assembly School for Leadership and Empowerme","592",51,0.086,NA,NA,NA,46,2021
"The Academy of Talented Scholars","393",10,0.025,NA,NA,NA,10,2021
"Brooklyn School of Inquiry","525",NA,NA,NA,NA,NA,NA,2021
"Universal Pre-K C.B.O.","2948",36,0.012,NA,NA,NA,34,2021
"P.S. 748 Brooklyn School for Global Scholars","501",18,0.036,NA,NA,NA,17,2021
"District 20 Pre-K Center","1130",12,0.011,NA,NA,NA,8,2021
"MS 936 Arts Off 3rd","154",17,0.11,NA,NA,NA,17,2021
"Sunset School of Cultural Learning","66",15,0.227,NA,NA,NA,14,2021
"School of Math, Science, and Healthy Living","271",6,0.022,NA,NA,NA,6,2021
"P.S. 90 Edna Cohen School","533",58,0.109,11,NA,NA,39,2021
"P.S. 095 The Gravesend","1006",26,0.026,NA,NA,NA,18,2021
"I.S. 096 Seth Low","830",53,0.064,7,NA,NA,44,2021
"P.S. 97 The Highlawn","717",20,0.028,NA,NA,NA,20,2021
"I.S. 98 Bay Academy","1700",NA,NA,NA,NA,NA,NA,2021
"P.S. 099 Isaac Asimov","852",34,0.04,NA,NA,NA,31,2021
"P.S. 100 The Coney Island School","703",25,0.036,NA,NA,NA,21,2021
"P.S. 101 The Verrazano","993",7,0.007,NA,NA,NA,6,2021
"P.S. 121 Nelson A. Rockefeller","329",30,0.091,NA,NA,NA,26,2021
"P.S. 128 Bensonhurst","436",6,0.014,NA,NA,NA,6,2021
"P.S. 153 Homecrest","575",22,0.038,NA,NA,NA,20,2021
"P.S. 177 The Marlboro","970",38,0.039,NA,NA,NA,33,2021
"P.S. 188 Michael E. Berdy","327",20,0.061,18,NA,NA,NA,2021
"P.S. 199 Frederick Wachtel","562",42,0.075,NA,NA,NA,40,2021
"P.S. 209 Margaret Mead","715",47,0.066,NA,NA,NA,43,2021
"P.S. 212 Lady Deborah Moody","623",35,0.056,NA,NA,NA,30,2021
"P.S. 215 Morris H. Weiss","769",28,0.036,NA,NA,NA,24,2021
"P.S. 216 Arturo Toscanini","726",22,0.03,NA,NA,NA,19,2021
"P.S. K225 - The Eileen E. Zaglin","1008",35,0.035,10,NA,NA,24,2021
"P.S. 226 Alfred De B. Mason","960",62,0.065,NA,NA,NA,58,2021
"I.S. 228 David A. Boody","1605",64,0.04,8,NA,NA,53,2021
"P.S. 238 Anne Sullivan","632",43,0.068,NA,NA,NA,40,2021
"Mark Twain I.S. 239 for the Gifted & Talented","1331",19,0.014,NA,NA,NA,18,2021
"P.S. 253","889",69,0.078,NA,NA,NA,64,2021
"I.S. 281 Joseph B Cavallaro","1220",55,0.045,6,NA,NA,47,2021
"P.S. 288 The Shirley Tanyhill","556",31,0.056,24,NA,NA,NA,2021
"I.S. 303 Herbert S. Eisenberg","535",45,0.084,NA,NA,NA,39,2021
"P.S. 329 Surfside","373",44,0.118,18,12,6,25,2021
"International High School at Lafayette","326",132,0.405,NA,NA,NA,131,2021
"Rachel Carson High School for Coastal Studies","597",18,0.03,NA,NA,NA,15,2021
"High School of Sports Management","276",34,0.123,8,NA,NA,25,2021
"Abraham Lincoln High School","1815",152,0.084,39,12,27,104,2021
"Home Schooling","389",10,0.026,6,NA,NA,NA,2021
"Kingsborough Early College School","757",43,0.057,11,NA,NA,28,2021
"Edward R. Murrow High School","3645",287,0.079,23,11,12,261,2021
"John Dewey High School","2260",181,0.08,39,21,18,133,2021
"Life Academy High School for Film and Music","250",28,0.112,9,NA,NA,18,2021
"Leaders High School","395",27,0.068,6,NA,NA,20,2021
"William E. Grady Career and Technical Education Hi","510",47,0.092,18,7,11,28,2021
"Brooklyn Studio Secondary School","976",27,0.028,NA,NA,NA,23,2021
"Universal Pre-K C.B.O.","1854",24,0.013,NA,NA,NA,6,2021
"Liberation Diploma Plus","230",26,0.113,9,NA,NA,14,2021
"Brooklyn's Daily Discovery Pre-K Center","255",NA,NA,NA,NA,NA,NA,2021
"J.H.S. 014 Shell Bank","544",61,0.112,15,9,6,41,2021
"P.S. 052 Sheepshead Bay","790",32,0.041,21,NA,NA,10,2021
"J.H.S. 078 Roy H. Mann","535",48,0.09,9,NA,NA,38,2021
"P.S. 109","537",123,0.229,98,78,20,25,2021
"P.S. 119 Amersfort","430",31,0.072,NA,NA,NA,28,2021
"P.S. K134","582",22,0.038,NA,NA,NA,22,2021
"P.S. 139 Alexine A. Fenty","843",79,0.094,8,NA,NA,69,2021
"School of Science & Technology","581",47,0.081,13,NA,NA,34,2021
"P.S. 193 Gil Hodges","610",34,0.056,NA,NA,NA,31,2021
"P.S. 194 Raoul Wallenberg","533",69,0.129,23,NA,NA,44,2021
"P.S. 195 Manhattan Beach","422",NA,NA,NA,NA,NA,NA,2021
"P.S. 197 - The Kings Highway Academy","913",84,0.092,NA,NA,NA,82,2021
"P.S. 198 Brooklyn","332",43,0.13,21,14,7,22,2021
"P.S. 203 Floyd Bennett School","563",46,0.082,12,6,6,33,2021
"P.S. 206 Joseph F Lamb","1539",45,0.029,NA,NA,NA,41,2021
"P.S. 207 Elizabeth G. Leary","1052",11,0.01,NA,NA,NA,7,2021
"P.S. 217 Colonel David Marcus School","1066",52,0.049,NA,NA,NA,47,2021
"P.S. 222 Katherine R. Snyder","811",11,0.014,NA,NA,NA,9,2021
"J.H.S. 234 Arthur W. Cunningham","1464",110,0.075,NA,NA,NA,106,2021
"P.S. 236 Mill Basin","576",16,0.028,NA,NA,NA,13,2021
"Andries Hudde","591",103,0.174,29,15,14,72,2021
"P.S. 245","261",16,0.061,NA,NA,NA,13,2021
"P.S. 251 Paerdegat","404",36,0.089,16,NA,NA,18,2021
"P.S. 254 Dag Hammarskjold","691",9,0.013,NA,NA,NA,9,2021
"P.S. 255 Barbara Reing School","833",64,0.077,NA,NA,NA,61,2021
"P.S. 277 Gerritsen Beach","384",NA,NA,NA,NA,NA,NA,2021
"J.H.S. 278 Marine Park","1268",80,0.063,7,NA,NA,73,2021
"P.S. 312 Bergen Beach","724",65,0.09,NA,NA,NA,58,2021
"P.S. K315","575",71,0.123,18,6,12,48,2021
"P.S. 326","142",NA,NA,NA,NA,NA,NA,2021
"P.S. 361 East Flatbush Early Childhood School","505",86,0.17,25,13,12,61,2021
